Block Name,Point ID,material_id,Points_0,Points_1,Points_2,Points_Magnitude
block_103,20,103,-0.7239,5.55112e-17,3.556,3.62893
block_103,21,103,-0.7239,-0.417944,3.556,3.65292
block_103,22,103,0,-0.835888,5.334,5.3991
block_103,23,103,-0.00972244,-0.434784,5.334,5.3517
block_103,24,103,-0.36195,-0.626916,5.334,5.3829
block_103,25,103,0,-0.835888,3.556,3.65292
block_103,26,103,-0.00972244,-0.434784,3.556,3.58249
block_103,27,103,-0.36195,-0.626916,3.556,3.62893
block_103,28,103,0.371672,-0.225812,5.334,5.3517
block_103,29,103,0.36195,-0.626916,5.334,5.3829
block_103,30,103,0.371672,-0.225812,3.556,3.58249
block_103,31,103,0.36195,-0.626916,3.556,3.62893
block_103,32,103,0.7239,-0.417944,5.334,5.3991
block_103,33,103,0.7239,-0.417944,3.556,3.65292
block_103,34,103,0.7239,-5.55112e-17,5.334,5.3829
block_103,35,103,0.7239,-5.55112e-17,3.556,3.62893
block_103,36,103,0.00909704,-0.0185493,5.334,5.33404
block_103,37,103,0.00909704,-0.0185493,3.556,3.55606
block_104,0,104,0,0.835888,7.112,7.16095
block_104,1,104,0.00636137,0.42521,7.112,7.1247
block_104,2,104,0.36195,0.626916,7.112,7.14875
block_104,3,104,0,0.835888,5.334,5.3991
block_104,4,104,0.00636137,0.42521,5.334,5.35093
block_104,5,104,0.36195,0.626916,5.334,5.3829
block_104,6,104,0.368245,0.217017,7.112,7.12483
block_104,7,104,0.7239,0.417944,7.112,7.16095
block_104,8,104,0.368245,0.217017,5.334,5.3511
block_104,9,104,0.7239,0.417944,5.334,5.3991
block_104,10,104,-0.364276,0.218077,7.112,7.12466
block_104,11,104,-0.36195,0.626916,7.112,7.14875
block_104,12,104,-0.364276,0.218077,5.334,5.35087
block_104,13,104,-0.36195,0.626916,5.334,5.3829
block_104,14,104,-0.7239,0.417944,7.112,7.16095
block_104,15,104,-0.7239,0.417944,5.334,5.3991
block_104,16,104,-0.381395,-0.208972,7.112,7.12528
block_104,17,104,-0.7239,5.55112e-17,7.112,7.14875
block_104,18,104,-0.7239,-0.417944,7.112,7.16095
block_104,19,104,-0.381395,-0.208972,5.334,5.3517
block_104,20,104,-0.7239,5.55112e-17,5.334,5.3829
block_104,21,104,-0.7239,-0.417944,5.334,5.3991
block_104,22,104,0,-0.835888,7.112,7.16095
block_104,23,104,-0.00972244,-0.434784,7.112,7.12528
block_104,24,104,-0.36195,-0.626916,7.112,7.14875
block_104,25,104,0,-0.835888,5.334,5.3991
block_104,26,104,-0.00972244,-0.434784,5.334,5.3517
block_104,27,104,-0.36195,-0.626916,5.334,5.3829
block_104,28,104,0.371672,-0.225812,7.112,7.12528
block_104,29,104,0.36195,-0.626916,7.112,7.14875
block_104,30,104,0.371672,-0.225812,5.334,5.3517
block_104,31,104,0.36195,-0.626916,5.334,5.3829
block_104,32,104,0.7239,-0.417944,7.112,7.16095
block_104,33,104,0.7239,-0.417944,5.334,5.3991
block_104,34,104,0.7239,-5.55112e-17,7.112,7.14875
block_104,35,104,0.7239,-5.55112e-17,5.334,5.3829
block_104,36,104,0.00909704,-0.0185493,7.112,7.11203
block_104,37,104,0.00909704,-0.0185493,5.334,5.33404
block_105,0,105,0,0.835888,8.89,8.92921
block_105,1,105,0.00636137,0.42521,8.89,8.90017
block_105,2,105,0.36195,0.626916,8.89,8.91942
block_105,3,105,0,0.835888,7.112,7.16095
block_105,4,105,0.00636137,0.42521,7.112,7.1247
block_105,5,105,0.36195,0.626916,7.112,7.14875
block_105,6,105,0.368245,0.217017,8.89,8.90027
block_105,7,105,0.7239,0.417944,8.89,8.92921
block_105,8,105,0.368245,0.217017,7.112,7.12483
block_105,9,105,0.7239,0.417944,7.112,7.16095
block_105,10,105,-0.364276,0.218077,8.89,8.90013
block_105,11,105,-0.36195,0.626916,8.89,8.91942
block_105,12,105,-0.364276,0.218077,7.112,7.12466
block_105,13,105,-0.36195,0.626916,7.112,7.14875
block_105,14,105,-0.7239,0.417944,8.89,8.92921
block_105,15,105,-0.7239,0.417944,7.112,7.16095
block_105,16,105,-0.381395,-0.208972,8.89,8.90063
block_105,17,105,-0.7239,5.55112e-17,8.89,8.91942
block_105,18,105,-0.7239,-0.417944,8.89,8.92921
block_105,19,105,-0.381395,-0.208972,7.112,7.12528
block_105,20,105,-0.7239,5.55112e-17,7.112,7.14875
block_105,21,105,-0.7239,-0.417944,7.112,7.16095
block_105,22,105,0,-0.835888,8.89,8.92921
block_105,23,105,-0.00972244,-0.434784,8.89,8.90063
block_105,24,105,-0.36195,-0.626916,8.89,8.91942
block_105,25,105,0,-0.835888,7.112,7.16095
block_105,26,105,-0.00972244,-0.434784,7.112,7.12528
block_105,27,105,-0.36195,-0.626916,7.112,7.14875
block_105,28,105,0.371672,-0.225812,8.89,8.90063
block_105,29,105,0.36195,-0.626916,8.89,8.91942
block_105,30,105,0.371672,-0.225812,7.112,7.12528
block_105,31,105,0.36195,-0.626916,7.112,7.14875
block_105,32,105,0.7239,-0.417944,8.89,8.92921
block_105,33,105,0.7239,-0.417944,7.112,7.16095
block_105,34,105,0.7239,-5.55112e-17,8.89,8.91942
block_105,35,105,0.7239,-5.55112e-17,7.112,7.14875
block_105,36,105,0.00909704,-0.0185493,8.89,8.89002
block_105,37,105,0.00909704,-0.0185493,7.112,7.11203
