x,y,z,nuFissRate,nuFissRateRelError,scalarFlux,scalarFluxRelError
-0.00972244,-0.434784,0.0,0.005849504,1.2405631415010776,0.1122643,0.597991614549734
-0.36195,-0.626916,0.0,0.005849504,1.2405631415010776,0.1122643,0.597991614549734
0.371672,-0.225812,1.778,0.005849504,1.2405631415010776,0.1122643,0.597991614549734
0.36195,-0.626916,1.778,0.005849504,1.2405631415010776,0.1122643,0.597991614549734
0.371672,-0.225812,0.0,0.005849504,1.2405631415010776,0.1122643,0.597991614549734
0.36195,-0.626916,0.0,0.005849504,1.2405631415010776,0.1122643,0.597991614549734
0.7239,-0.417944,1.778,0.005849504,1.2405631415010776,0.1122643,0.597991614549734
0.7239,-0.417944,0.0,0.005849504,1.2405631415010776,0.1122643,0.597991614549734
0.7239,-5.55112e-17,1.778,0.005849504,1.2405631415010776,0.1122643,0.597991614549734
0.7239,-5.55112e-17,0.0,0.005849504,1.2405631415010776,0.1122643,0.597991614549734
0.00909704,-0.0185493,1.778,0.005849504,1.2405631415010776,0.1122643,0.597991614549734
0.00909704,-0.0185493,0.0,0.005849504,1.2405631415010776,0.1122643,0.597991614549734
0.0,0.835888,3.556,0.01133833,0.34428016390249144,0.1899484,0.6118709202517555
0.00636137,0.42521,3.556,0.01133833,0.34428016390249144,0.1899484,0.6118709202517555
0.36195,0.626916,3.556,0.01133833,0.34428016390249144,0.1899484,0.6118709202517555
0.0,0.835888,1.778,0.01133833,0.34428016390249144,0.1899484,0.6118709202517555
0.00636137,0.42521,1.778,0.01133833,0.34428016390249144,0.1899484,0.6118709202517555
0.36195,0.626916,1.778,0.01133833,0.34428016390249144,0.1899484,0.6118709202517555
0.368245,0.217017,3.556,0.01133833,0.34428016390249144,0.1899484,0.6118709202517555
0.7239,0.417944,3.556,0.01133833,0.34428016390249144,0.1899484,0.6118709202517555
0.368245,0.217017,1.778,0.01133833,0.34428016390249144,0.1899484,0.6118709202517555
0.7239,0.417944,1.778,0.01133833,0.34428016390249144,0.1899484,0.6118709202517555
-0.364276,0.218077,3.556,0.01133833,0.34428016390249144,0.1899484,0.6118709202517555
-0.36195,0.626916,3.556,0.01133833,0.34428016390249144,0.1899484,0.6118709202517555
-0.364276,0.218077,1.778,0.01133833,0.34428016390249144,0.1899484,0.6118709202517555
-0.36195,0.626916,1.778,0.01133833,0.34428016390249144,0.1899484,0.6118709202517555
-0.7239,0.417944,3.556,0.01133833,0.34428016390249144,0.1899484,0.6118709202517555
-0.7239,0.417944,1.778,0.01133833,0.34428016390249144,0.1899484,0.6118709202517555
-0.381395,-0.208972,3.556,0.01133833,0.34428016390249144,0.1899484,0.6118709202517555
-0.7239,5.55112e-17,3.556,0.01133833,0.34428016390249144,0.1899484,0.6118709202517555
-0.7239,-0.417944,3.556,0.01133833,0.34428016390249144,0.1899484,0.6118709202517555
-0.381395,-0.208972,1.778,0.01133833,0.34428016390249144,0.1899484,0.6118709202517555
-0.7239,5.55112e-17,1.778,0.01133833,0.34428016390249144,0.1899484,0.6118709202517555
-0.7239,-0.417944,1.778,0.01133833,0.34428016390249144,0.1899484,0.6118709202517555
0.0,-0.835888,3.556,0.01133833,0.34428016390249144,0.1899484,0.6118709202517555
-0.00972244,-0.434784,3.556,0.01133833,0.34428016390249144,0.1899484,0.6118709202517555
-0.36195,-0.626916,3.556,0.01133833,0.34428016390249144,0.1899484,0.6118709202517555
0.0,-0.835888,1.778,0.01133833,0.34428016390249144,0.1899484,0.6118709202517555
-0.00972244,-0.434784,1.778,0.01133833,0.34428016390249144,0.1899484,0.6118709202517555
-0.36195,-0.626916,1.778,0.01133833,0.34428016390249144,0.1899484,0.6118709202517555
0.371672,-0.225812,3.556,0.01133833,0.34428016390249144,0.1899484,0.6118709202517555
0.36195,-0.626916,3.556,0.01133833,0.34428016390249144,0.1899484,0.6118709202517555
0.371672,-0.225812,1.778,0.01133833,0.34428016390249144,0.1899484,0.6118709202517555
0.36195,-0.626916,1.778,0.01133833,0.34428016390249144,0.1899484,0.6118709202517555
0.7239,-0.417944,3.556,0.01133833,0.34428016390249144,0.1899484,0.6118709202517555
0.7239,-0.417944,1.778,0.01133833,0.34428016390249144,0.1899484,0.6118709202517555
0.7239,-5.55112e-17,3.556,0.01133833,0.34428016390249144,0.1899484,0.6118709202517555
0.7239,-5.55112e-17,1.778,0.01133833,0.34428016390249144,0.1899484,0.6118709202517555
0.00909704,-0.0185493,3.556,0.01133833,0.34428016390249144,0.1899484,0.6118709202517555
0.00909704,-0.0185493,1.778,0.01133833,0.34428016390249144,0.1899484,0.6118709202517555
0.0,0.835888,5.334,0.01588746,0.8189722764585426,0.2572723,0.8176347484164808
0.00636137,0.42521,5.334,0.01588746,0.8189722764585426,0.2572723,0.8176347484164808
0.36195,0.626916,5.334,0.01588746,0.8189722764585426,0.2572723,0.8176347484164808
0.0,0.835888,3.556,0.01588746,0.8189722764585426,0.2572723,0.8176347484164808
0.00636137,0.42521,3.556,0.01588746,0.8189722764585426,0.2572723,0.8176347484164808
0.36195,0.626916,3.556,0.01588746,0.8189722764585426,0.2572723,0.8176347484164808
0.368245,0.217017,5.334,0.01588746,0.8189722764585426,0.2572723,0.8176347484164808
0.7239,0.417944,5.334,0.01588746,0.8189722764585426,0.2572723,0.8176347484164808
0.368245,0.217017,3.556,0.01588746,0.8189722764585426,0.2572723,0.8176347484164808
